Date,Customer,Device,numNoSearchResults
2/1/23,b2b,consumer,16
2/1/23,b2b,desktop,2368
2/1/23,b2b,mobile,194
2/1/23,b2c,consumer,6
2/1/23,b2c,desktop,2076
2/1/23,b2c,mobile,1903
3/1/23,b2b,consumer,11
3/1/23,b2b,desktop,3447
3/1/23,b2b,mobile,354
3/1/23,b2c,consumer,14
3/1/23,b2c,desktop,3290
3/1/23,b2c,mobile,3483
4/1/23,b2b,consumer,8
4/1/23,b2b,desktop,1699
4/1/23,b2b,mobile,368
4/1/23,b2c,consumer,3
4/1/23,b2c,desktop,1339
4/1/23,b2c,mobile,1871
5/1/23,b2b,consumer,13
5/1/23,b2b,desktop,1590
5/1/23,b2b,mobile,162
5/1/23,b2c,consumer,172
5/1/23,b2c,desktop,50187
5/1/23,b2c,mobile,48594
6/1/23,b2b,consumer,12
6/1/23,b2b,desktop,1670
6/1/23,b2b,mobile,292
6/1/23,b2c,consumer,347
6/1/23,b2c,desktop,28798
6/1/23,b2c,mobile,31309
7/1/23,b2b,consumer,8
7/1/23,b2b,desktop,616
7/1/23,b2b,mobile,251
7/1/23,b2c,consumer,415
7/1/23,b2c,desktop,24079
7/1/23,b2c,mobile,34239
8/1/23,b2b,consumer,25
8/1/23,b2b,desktop,1847
8/1/23,b2b,mobile,377
8/1/23,b2c,consumer,430
8/1/23,b2c,desktop,85631
8/1/23,b2c,mobile,145491
9/1/23,b2b,consumer,8
9/1/23,b2b,desktop,1141
9/1/23,b2b,mobile,236
9/1/23,b2c,consumer,221
9/1/23,b2c,desktop,97720
9/1/23,b2c,mobile,157827